datetime;dst;randomized;rssi;idx;seq_num;ch_freq;ssid;occupancy
2024-10-20 17:47:21.981722;48:b4:c3:4b:8b:c0;1;-88;56;56;11;b'KolejNet';0.0
2024-10-20 17:47:21.983919;c0:c9:e3:39:0b:78;1;-89;57;57;1;b'Brother';0.0
2024-10-20 17:47:29.816000;b2:7d:64:46:10:72;1;-59;58;58;6;b'NEJD';0.0
2024-10-20 17:47:29.827208;30:16:9d:4f:19:a5;1;-61;59;59;10;b'sitovy_divajs';0.0
2024-10-20 17:47:29.838592;d8:44:89:59:cb:a9;1;-64;60;60;1;b'';0.0
2024-10-20 17:47:29.840912;48:b4:c3:4c:92:c0;1;-70;61;61;1;b'KolejNet';0.0
2024-10-20 17:47:29.842997;06:13:34:25:d7:6f;1;-74;62;62;1;b'Vivo V23';0.0
2024-10-20 17:47:29.845109;48:b4:c3:48:d2:a1;1;-74;63;63;1;b'KolejNet-2.4G';0.0
2024-10-20 17:47:29.847210;48:b4:c3:4c:1a:60;1;-74;64;64;6;b'KolejNet';0.0
2024-10-20 17:47:29.849380;48:b4:c3:4c:1a:61;1;-74;65;65;6;b'KolejNet-2.4G';0.0
2024-10-20 17:47:29.851571;e2:3d:6c:a3:5f:79;1;-76;66;66;1;b'CIA hotspot';0.0
2024-10-20 17:47:29.862625;48:b4:c3:48:82:e0;1;-84;67;67;11;b'KolejNet';0.0
2024-10-20 17:47:29.865002;48:b4:c3:48:82:e1;1;-84;68;68;11;b'KolejNet-2.4G';0.0
2024-10-20 17:47:29.867213;48:b4:c3:4b:29:60;1;-86;69;69;1;b'KolejNet';0.0
2024-10-20 17:47:29.869330;48:b4:c3:48:76:00;1;-86;70;70;11;b'KolejNet';0.0
2024-10-20 17:47:29.871501;48:b4:c3:4b:29:61;1;-87;71;71;1;b'KolejNet-2.4G';0.0
2024-10-20 17:47:29.873625;c0:c9:e3:39:0b:78;1;-91;72;72;1;b'Brother';0.0
2024-10-20 17:47:29.886381;4a:9e:bd:5a:78:51;1;-92;73;73;6;b'DIRECT-51-HP OfficeJet Pro 7740';0.0
2024-10-20 17:47:36.716162;b2:7d:64:46:10:72;1;-60;74;74;6;b'NEJD';0.0
2024-10-20 17:47:36.727429;30:16:9d:4f:19:a5;1;-61;75;75;10;b'sitovy_divajs';0.0
2024-10-20 17:47:36.729945;d8:44:89:59:cb:a9;1;-68;76;76;1;b'';0.0
2024-10-20 17:47:36.732044;48:b4:c3:4c:92:c0;1;-72;77;77;1;b'KolejNet';0.0
2024-10-20 17:47:36.734140;48:b4:c3:4c:92:c1;1;-72;78;78;1;b'KolejNet-2.4G';0.0
2024-10-20 17:47:36.736249;48:b4:c3:4c:1a:60;1;-73;79;79;6;b'KolejNet';0.0
2024-10-20 17:47:36.747315;e2:3d:6c:a3:5f:79;1;-76;80;80;1;b'CIA hotspot';0.0
2024-10-20 17:47:36.749683;48:b4:c3:48:d2:a1;1;-76;81;81;1;b'KolejNet-2.4G';0.0
2024-10-20 17:47:36.751785;48:b4:c3:49:bf:e1;1;-77;82;82;6;b'KolejNet-2.4G';0.0
2024-10-20 17:47:36.753999;06:13:34:25:d7:6f;1;-80;83;83;1;b'Vivo V23';0.0
2024-10-20 17:47:36.756135;48:b4:c3:4b:67:e0;1;-84;84;84;6;b'KolejNet';0.0
2024-10-20 17:47:36.758305;48:b4:c3:4b:29:60;1;-86;85;85;1;b'KolejNet';0.0
2024-10-20 17:47:36.769303;48:b4:c3:4b:29:61;1;-86;86;86;1;b'KolejNet-2.4G';0.0
2024-10-20 17:47:36.771633;48:b4:c3:48:82:e1;1;-86;87;87;11;b'KolejNet-2.4G';0.0
2024-10-20 17:47:36.773808;48:b4:c3:48:82:e0;1;-86;88;88;11;b'KolejNet';0.0
2024-10-20 17:47:36.775999;c0:c9:e3:39:0b:78;1;-87;89;89;1;b'Brother';0.0
2024-10-20 17:47:36.778102;48:b4:c3:48:76:01;1;-87;90;90;11;b'KolejNet-2.4G';0.0
2024-10-20 17:47:36.780278;48:b4:c3:4b:8b:c0;1;-89;91;91;11;b'KolejNet';0.0
2024-10-20 17:47:36.782468;48:b4:c3:4b:8b:c1;1;-89;92;92;11;b'KolejNet-2.4G';0.0
2024-10-20 17:47:37.793552;48:b4:c3:48:76:00;1;-90;93;93;11;b'KolejNet';0.0
2024-10-20 17:47:44.626006;b2:7d:64:46:10:72;1;-59;94;94;6;b'NEJD';0.0
2024-10-20 17:47:44.637274;d8:44:89:59:cb:a9;1;-60;95;95;1;b'';0.0
2024-10-20 17:47:44.639636;30:16:9d:4f:19:a5;1;-60;96;96;10;b'sitovy_divajs';0.0
2024-10-20 17:47:44.641811;48:b4:c3:4c:92:c1;1;-73;97;97;1;b'KolejNet-2.4G';0.0
2024-10-20 17:47:44.643963;48:b4:c3:4c:92:c0;1;-73;98;98;1;b'KolejNet';0.0
2024-10-20 17:47:44.646064;48:b4:c3:4c:1a:60;1;-73;99;99;6;b'KolejNet';0.0
2024-10-20 17:47:44.657160;48:b4:c3:4c:1a:61;1;-73;100;100;6;b'KolejNet-2.4G';0.0
2024-10-20 17:47:44.659571;48:b4:c3:49:bf:e1;1;-74;101;101;6;b'KolejNet-2.4G';0.0
2024-10-20 17:47:44.661775;48:b4:c3:48:d2:a1;1;-76;102;102;1;b'KolejNet-2.4G';0.0
2024-10-20 17:47:44.663919;e2:3d:6c:a3:5f:79;1;-77;103;103;1;b'CIA hotspot';0.0
2024-10-20 17:47:44.666038;06:13:34:25:d7:6f;1;-81;104;104;1;b'Vivo V23';0.0
2024-10-20 17:47:44.668137;48:b4:c3:4b:29:61;1;-83;105;105;1;b'KolejNet-2.4G';0.0
2024-10-20 17:47:44.679089;48:b4:c3:48:76:00;1;-87;106;106;11;b'KolejNet';0.0
2024-10-20 17:47:44.681462;48:b4:c3:48:76:01;1;-87;107;107;11;b'KolejNet-2.4G';0.0
2024-10-20 17:47:44.683673;48:b4:c3:4b:8b:c1;1;-90;108;108;11;b'KolejNet-2.4G';0.0
