Stop Name,Arrival Time
Čtvery hony,11:29:00
Obřanská - u školy,11:30:00
Proškovo náměstí,11:31:00
Maloměřický most,11:32:00
Tomkovo náměstí,11:34:00
Náměstí Republiky,11:35:00
Vozovna Husovice,11:36:00
Mostecká,11:38:00
Trávníčkova,11:39:00
Tkalcovská,11:42:00
Körnerova,11:44:00
Malinovského náměstí,11:47:00
Česká - výstup,11:50:00
BREAK,BREAK
Česká - nástup,11:51:00
Náměstí Svobody,11:52:00
Zelný trh,11:54:00
Hlavní nádraží,11:56:00
Malinovského náměstí,11:58:00
Körnerova,12:00:00
Tkalcovská,12:02:00
Trávníčkova,12:04:00
Mostecká,12:05:00
Vozovna Husovice,12:06:00
Náměstí Republiky,12:07:00
Tomkovo náměstí,12:09:00
Maloměřický most,12:10:00
Proškovo náměstí,12:11:00
Obřanská - u školy,12:12:00
Čtvery hony,12:13:00
Obřanský most,12:14:00
"Obřany, Babická - výstup",12:16:00
BREAK,BREAK
"Obřany, Babická - nástup",12:41:00
Obřanský most,12:41:00
Čtvery hony,12:42:00
Obřanská - u školy,12:43:00
Proškovo náměstí,12:44:00
Maloměřický most,12:45:00
Tomkovo náměstí,12:47:00
Náměstí Republiky,12:48:00
Vozovna Husovice,12:49:00
Mostecká,12:51:00
Trávníčkova,12:52:00
Tkalcovská,12:55:00
Körnerova,12:57:00
Malinovského náměstí,13:00:00
Česká - výstup,13:03:00
BREAK,BREAK
Česká - nástup,13:04:00
Náměstí Svobody,13:05:00
Zelný trh,13:07:00
Hlavní nádraží,13:09:00
Malinovského náměstí,13:11:00
Körnerova,13:13:00
Tkalcovská,13:15:00
Trávníčkova,13:17:00
Mostecká,13:18:00
Vozovna Husovice,13:19:00
Náměstí Republiky,13:20:00
Tomkovo náměstí,13:22:00
Maloměřický most - výstup,13:24:00
